Classifier,Params,Cross Val,Sample_Size,Accuracy,conf_Matrix,Competition_Error,Scaled_Error,COMMENTS
RandomForestClassifier,"{'max_features': 'auto', 'criterion': 'gini', 'max_depth': 8, 'n_estimators': 300, 'bootstrap': True, 'min_weight_fraction_leaf': 0.0, 'oob_score': False, 'min_samples_split': 2, 'min_samples_leaf': 1, 'n_jobs': 8, 'max_leaf_nodes': None, 'random_state': 1, 'warm_start': False, 'verbose': 0, 'class_weight': {0: 2, 1: 1}}",False,91360,0.537718914186,"[[40830  2227     0     0     0     0]
 [39854  8296     0     0     0     0]
 [  109    35     0     0     0     0]
 [    7     1     0     0     0     0]
 [    1     0     0     0     0     0]
 [    0     0     0     0     0     0]]",42361,211804.721796
ExtraTreesClassifier,"{'max_features': 'auto', 'criterion': 'gini', 'max_depth': 8, 'n_estimators': 300, 'bootstrap': False, 'min_weight_fraction_leaf': 0.0, 'oob_score': False, 'min_samples_split': 2, 'min_samples_leaf': 1, 'n_jobs': 8, 'max_leaf_nodes': None, 'random_state': 1, 'warm_start': False, 'verbose': 0, 'class_weight': {0: 1, 1: 2}}",False,91360,0.538375656743,"[[ 1242 41815     0     0     0     0]
 [  206 47944     0     0     0     0]
 [    3   141     0     0     0     0]
 [    1     7     0     0     0     0]
 [    0     1     0     0     0     0]
 [    0     0     0     0     0     0]]",42188,210939.722932
KNeighborsClassifier,"{'n_neighbors': 1, 'metric_params': None, 'p': 2, 'algorithm': 'auto', 'metric': 'minkowski', 'n_jobs': 8, 'weights': 'uniform', 'leaf_size': 30}",False,91360,0.546836690018,"[[22346 20663    48     0     0     0]
 [20486 27604    59     1     0     0]
 [   63    73     8     0     0     0]
 [    3     4     0     1     0     0]
 [    0     1     0     0     0     0]
 [    0     0     0     0     0     0]]",41525,207624.727286
Ensemble,"{'n_neighbors': 1, 'metric_params': None, 'p': 2, 'algorithm': 'auto', 'metric': 'minkowski', 'n_jobs': 8, 'weights': 'uniform', 'leaf_size': 30}",True,91360,0.67098,"[[23785 19272     0     0     0     0]
 [10636 37513     1     0     0     0]
 [   33   108     3     0     0     0]
 [    5     2     1     0     0     0]
 [    0     1     0     0     0     0]
 [    0     0     0     0     0     0]]",30106,150529.80228
XGBClassifier,"{'min_child_weight': 1, 'nthread': 8, 'reg_alpha': 0, 'base_score': 0.5, 'objective': 'multi:softprob', 'scale_pos_weight': 1, 'max_delta_step': 0, 'max_depth': 8, 'colsample_bylevel': 1, 'n_estimators': 250, 'silent': 1, 'seed': 1, 'learning_rate': 0.1, 'subsample': 0.9, 'gamma': 0, 'colsample_bytree': 1, 'reg_lambda': 1, 'missing': None}",False,91360,0.67423380035,"[[24166 18742    10     1     0     0]
 [10838 37401    32     0     0     0]
 [   45    87    30     0     0     0]
 [    4     3     0     1     0     0]
 [    0     0     0     0     0     0]
 [    0     0     0     0     0     0]]",29830,149149.804093
RandomForestClassifier,"{'max_features': 'auto', 'criterion': 'gini', 'max_depth': 8, 'n_estimators': 300, 'bootstrap': True, 'min_weight_fraction_leaf': 0.0, 'oob_score': False, 'min_samples_split': 2, 'min_samples_leaf': 1, 'n_jobs': 8, 'max_leaf_nodes': None, 'random_state': 1, 'warm_start': False, 'verbose': 0, 'class_weight': {0: 2, 1: 1}}",False,91360,0.527298598949,"[[40935  1984     0     0     0     0]
 [41032  7239     0     0     0     0]
 [  132    30     0     0     0     0]
 [    8     0     0     0     0     0]
 [    0     0     0     0     0     0]
 [    0     0     0     0     0     0]]",43334,216669.715406
ExtraTreesClassifier,"{'max_features': 'auto', 'criterion': 'gini', 'max_depth': 8, 'n_estimators': 300, 'bootstrap': False, 'min_weight_fraction_leaf': 0.0, 'oob_score': False, 'min_samples_split': 2, 'min_samples_leaf': 1, 'n_jobs': 8, 'max_leaf_nodes': None, 'random_state': 1, 'warm_start': False, 'verbose': 0, 'class_weight': {0: 1, 1: 2}}",False,91360,0.537565674256,"[[ 1071 41848     0     0     0     0]
 [  230 48041     0     0     0     0]
 [    5   157     0     0     0     0]
 [    0     8     0     0     0     0]
 [    0     0     0     0     0     0]
 [    0     0     0     0     0     0]]",42261,211304.722453
KNeighborsClassifier,"{'n_neighbors': 1, 'metric_params': None, 'p': 2, 'algorithm': 'auto', 'metric': 'minkowski', 'n_jobs': 8, 'weights': 'uniform', 'leaf_size': 30}",False,91360,0.539043345009,"[[21972 20896    48     1     1     1]
 [20953 27268    49     1     0     0]
 [   75    79     7     1     0     0]
 [    2     6     0     0     0     0]
 [    0     0     0     0     0     0]
 [    0     0     0     0     0     0]]",42256,211279.722486
Ensemble,"{'n_neighbors': 1, 'metric_params': None, 'p': 2, 'algorithm': 'auto', 'metric': 'minkowski', 'n_jobs': 8, 'weights': 'uniform', 'leaf_size': 30}",True,91360,0.67427,"[[24170 18749     0     0     0     0]
 [10841 37426     4     0     0     0]
 [   46   111     5     0     0     0]
 [    4     4     0     0     0     0]
 [    0     0     0     0     0     0]
 [    0     0     0     0     0     0]]",29817,149084.804178
XGBClassifier,"{'missing': None, 'subsample': 0.9, 'n_estimators': 250, 'colsample_bytree': 1, 'objective': 'multi:softprob', 'silent': 1, 'reg_lambda': 1, 'nthread': 8, 'scale_pos_weight': 1, 'seed': 1, 'gamma': 0, 'learning_rate': 0.1, 'max_depth': 8, 'max_delta_step': 0, 'min_child_weight': 1, 'reg_alpha': 0, 'colsample_bylevel': 1, 'base_score': 0.5}",False,91360,0.673358143608,"[[24043 19041    13     1     0     0]
 [10605 37452    48     1     0     0]
 [   34    87    23     0     0     0]
 [    4     3     2     0     0     0]
 [    1     1     0     1     0     0]
 [    0     0     0     0     0     0]]",29908,149539.803581
